persona_id,num_predictions,embedding_similarity,device_precision,device_recall,param_precision,param_recall,param_f1,numerical_precision,numerical_recall,numerical_f1,categorical_precision,categorical_recall,categorical_f1
persona_049,33,0.59800166,0.7878787878787878,0.7878787878787878,0.7424242424242424,0.7070707070707071,0.7111111111111111,0.24242424242424243,0.22727272727272727,0.2323232323232323,0.3939393939393939,0.3686868686868687,0.3777777777777777
persona_050,28,0.58896273,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.625,0.6428571428571429,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.32142857142857145,0.32142857142857145,0.32142857142857145
persona_051,25,0.6376106,0.88,0.88,0.82,0.82,0.8133333333333332,0.2,0.2,0.2,0.56,0.56,0.56
persona_052,34,0.55007684,0.7058823529411765,0.6911764705882353,0.696078431372549,0.6470588235294118,0.6617647058823529,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.36764705882352944,0.34803921568627455,0.35294117647058826
persona_053,29,0.6123749,0.7413793103448276,0.7586206896551724,0.7241379310344828,0.6896551724137931,0.6942528735632184,0.1206896551724138,0.13793103448275862,0.1264367816091954,0.29310344827586204,0.28160919540229884,0.2804597701149425
persona_054,28,0.6543537,0.8571428571428571,0.8214285714285714,0.8303571428571429,0.7797619047619048,0.7891156462585034,0.14285714285714285,0.17857142857142858,0.15476190476190474,0.375,0.36904761904761907,0.3630952380952381
persona_055,29,0.55980647,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7758620689655172,0.7816091954022988,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.27586206896551724,0.27586206896551724,0.27586206896551724
persona_056,33,0.5538123,0.696969696969697,0.6818181818181818,0.696969696969697,0.5909090909090909,0.6219336219336219,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.3181818181818182,0.2828282828282828,0.29292929292929293
persona_057,26,0.67384964,0.9038461538461539,0.9038461538461539,0.891025641025641,0.8012820512820512,0.832051282051282,0.36538461538461536,0.38461538461538464,0.37179487179487175,0.3269230769230769,0.3076923076923077,0.3141025641025641
persona_058,25,0.6751033,0.84,0.8466666666666666,0.82,0.7226666666666667,0.7439999999999999,0.3,0.30666666666666664,0.2986666666666667,0.66,0.6266666666666666,0.6386666666666666
persona_059,28,0.6205617,0.8928571428571429,0.8928571428571429,0.8452380952380951,0.8809523809523808,0.8547619047619046,0.05357142857142857,0.05357142857142857,0.047619047619047616,0.2857142857142857,0.2857142857142857,0.2857142857142857
persona_060,28,0.6064882,0.6428571428571429,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.6571428571428573,0.19642857142857142,0.21428571428571427,0.20238095238095236,0.2857142857142857,0.32142857142857145,0.29761904761904756
persona_061,26,0.7473936,0.6346153846153846,0.6282051282051282,0.6346153846153846,0.5205128205128206,0.5512820512820512,0.28846153846153844,0.3076923076923077,0.2948717948717948,0.5,0.4519230769230769,0.4641025641025641
persona_062,39,0.6776376,0.8974358974358975,0.8974358974358975,0.8888888888888888,0.8611111111111109,0.8672771672771674,0.3076923076923077,0.2948717948717949,0.29914529914529914,0.38461538461538464,0.3717948717948718,0.37606837606837606
persona_063,25,0.6069601,0.88,0.88,0.8266666666666665,0.6966666666666665,0.7329523809523809,0.36,0.34,0.3466666666666666,0.5,0.52,0.5066666666666666
persona_064,50,0.7553163,0.89,0.9,0.84,0.83,0.8262857142857143,0.19,0.2,0.19333333333333333,0.55,0.5733333333333333,0.5559999999999999
persona_065,34,0.5760993,0.8088235294117647,0.8235294117647058,0.7990196078431372,0.7745098039215685,0.776470588235294,0.14705882352941177,0.1323529411764706,0.1372549019607843,0.3382352941176471,0.35294117647058826,0.3431372549019608
persona_066,43,0.5786959,0.7209302325581395,0.7325581395348837,0.686046511627907,0.6472868217054264,0.6550387596899224,0.10465116279069768,0.09302325581395349,0.09302325581395347,0.2441860465116279,0.23255813953488372,0.23255813953488372
persona_067,23,0.64709574,0.9565217391304348,0.9565217391304348,0.9043478260869565,0.8478260869565217,0.8574879227053139,0.3695652173913043,0.391304347826087,0.3768115942028985,0.7282608695652174,0.7391304347826086,0.7329192546583851
